City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,antofagasta,-23.65,-70.4,21.6,79,36,2.35,CL,1706325747
328,huilong,31.8111,121.655,5.42,45,2,2.31,CN,1706325748
329,mikuni,36.2171,136.1519,4.95,67,99,2.2,JP,1706325749
330,fort st. john,56.2499,-120.8529,2.94,75,75,5.14,CA,1706325749
331,makurdi,7.7411,8.5121,24.42,19,97,2.71,NG,1706325749
332,tolanaro,-25.0319,46.9987,24.04,73,20,3.09,MG,1706325750
333,hutchinson,38.0608,-97.9298,-0.23,100,100,3.6,US,1706325718
334,st. john's,47.5649,-52.7093,-5.02,83,75,9.26,CA,1706325750
335,belmonte,-15.8631,-38.8828,25.22,96,100,5.87,BR,1706325751
336,la ronge,55.1001,-105.2842,-4.86,93,100,2.06,CA,1706325751
337,paola,39.3599,16.0396,13.62,82,25,0.97,IT,1706325751
338,gaspe,48.8334,-64.4819,-6.05,93,75,0.0,CA,1706325484
339,port saint john's,-31.6229,29.5448,23.23,72,90,1.71,ZA,1706325752
340,kalat,29.0225,66.5916,6.18,86,46,2.55,PK,1706325752
341,thabazimbi,-24.5917,27.4116,21.08,65,95,3.54,ZA,1706325474
342,revda,56.801,59.9303,-14.66,96,100,1.76,RU,1706325613
343,manokwari,-0.8667,134.0833,28.24,74,100,4.63,ID,1706325753
344,smithers,54.7804,-127.1743,3.18,87,75,2.06,CA,1706325753
345,acapulco de juarez,16.8634,-99.8901,25.9,83,0,3.09,MX,1706325754
346,ituango,7.1712,-75.764,17.85,97,59,0.29,CO,1706325754
347,dryden,49.7833,-92.7503,-2.84,100,100,6.17,CA,1706325754
348,champerico,14.3,-91.9167,27.25,72,0,1.97,GT,1706325755
349,peace river,56.2501,-117.286,-2.83,93,75,2.06,CA,1706325755
350,rocha,-34.4833,-54.3333,16.59,93,0,2.48,UY,1706325686
351,hassi messaoud,31.6804,6.0729,5.92,70,0,2.06,DZ,1706325756
352,namibe,-15.1961,12.1522,24.66,81,6,2.3,AO,1706325757
353,tinajo,29.0788,-13.7081,16.49,88,0,3.09,ES,1706325758
354,oum hadjer,13.2954,19.6966,16.59,25,60,4.52,TD,1706325758
355,borkum,53.5809,6.6915,5.97,86,11,7.9,DE,1706325758
356,pokachi,61.7198,75.3683,-13.39,93,99,2.3,RU,1706325759
357,bikenibeu village,1.3673,173.1241,26.98,89,75,6.69,KI,1706325759
358,villapinzon,5.2162,-73.5949,7.07,83,15,0.44,CO,1706325759
359,natitingou,10.3042,1.3796,20.72,24,16,4.14,BJ,1706325760
360,novyy urengoy,66.0833,76.6333,-14.68,95,100,3.27,RU,1706325760
361,kovdor,67.5662,30.4758,-6.84,86,100,5.45,RU,1706325760
362,tura,25.5198,90.2201,18.22,34,1,0.99,IN,1706325761
363,kalmunai,7.4167,81.8167,25.79,78,54,4.1,LK,1706325761
364,la rinconada,37.4873,-5.9826,13.52,88,100,0.51,ES,1706325761
365,touros,-5.1989,-35.4608,27.44,78,95,4.47,BR,1706325762
366,medina,24.4686,39.6142,15.24,55,0,3.09,SA,1706325762
367,ghat,24.9647,10.1728,10.93,40,81,2.27,LY,1706325762
368,ulety,51.3572,112.4849,-12.07,63,41,2.01,RU,1706325763
369,betare oya,5.6,14.0833,18.82,30,6,2.36,CM,1706325763
370,sitka,57.0531,-135.33,7.94,81,100,6.17,US,1706325763
371,oriximina,-1.7656,-55.8661,25.51,83,97,0.98,BR,1706325763
372,la sarre,48.8002,-79.1996,-1.64,96,100,1.24,CA,1706325764
373,ambon,-3.6954,128.1814,29.84,68,71,7.6,ID,1706325764
374,mount isa,-20.7333,139.5,31.87,58,100,5.66,AU,1706325765
375,ak'ordat,15.5486,37.8867,17.8,77,94,1.92,ER,1706325765
376,ciudad lazaro cardenas,17.9583,-102.2,23.45,82,0,1.36,MX,1706325765
377,hun,29.1268,15.9477,10.44,88,0,2.68,LY,1706325766
378,piti village,13.4626,144.6933,29.49,73,100,7.72,GU,1706325766
379,queenstown,-31.8976,26.8753,22.65,43,100,4.77,ZA,1706325766
380,buka,40.8108,69.1986,-0.51,85,29,1.88,UZ,1706325766
381,baiti,13.745,-14.7482,24.43,13,0,5.12,SN,1706325767
382,san jose,37.3394,-121.895,14.43,76,75,0.45,US,1706325613
383,gilgit,35.9221,74.3087,2.52,62,93,1.2,PK,1706325767
384,quirihue,-36.2833,-72.5333,13.5,96,89,1.62,CL,1706325767
385,praia da vitoria,38.7333,-27.0667,17.09,100,40,7.14,PT,1706325768
386,alaghsas,17.0187,8.0168,14.75,27,0,7.94,NE,1706325768
387,souillac,-20.5167,57.5167,27.21,83,75,3.09,MU,1706325768
